Год,Тип,Всего,Тувинский_ңөү_кол,Тувинский_ңөү_%,Тувинский_рус_клав_кол,Тувинский_рус_клав_%,Русский_кол,Русский_%
2013,Посты,52,0,0.0,15,28.85,37,71.15
2013,Комментарии,4,0,0.0,0,0.0,4,100.0
2014,Посты,20,0,0.0,5,25.0,15,75.0
2014,Комментарии,2,0,0.0,0,0.0,2,100.0
2015,Посты,199,0,0.0,30,15.08,169,84.92
2015,Комментарии,2,0,0.0,1,50.0,1,50.0
2016,Посты,421,3,0.71,47,11.16,371,88.12
2016,Комментарии,28,0,0.0,3,10.71,25,89.29
2017,Посты,1038,1,0.1,62,5.97,975,93.93
2017,Комментарии,36,0,0.0,2,5.56,34,94.44
2018,Посты,2554,4,0.16,134,5.25,2416,94.6
2018,Комментарии,140,0,0.0,24,17.14,116,82.86
2019,Посты,3618,22,0.61,421,11.64,3175,87.76
2019,Комментарии,843,10,1.19,80,9.49,753,89.32
2020,Посты,4032,30,0.74,557,13.81,3445,85.44
2020,Комментарии,1358,47,3.46,206,15.17,1105,81.37
2021,Посты,4146,33,0.8,571,13.77,3542,85.43
2021,Комментарии,1828,46,2.52,222,12.14,1560,85.34
2022,Посты,9728,96,0.99,1364,14.02,8268,84.99
2022,Комментарии,8929,185,2.07,1229,13.76,7515,84.16
2023,Посты,11206,262,2.34,1886,16.83,9058,80.83
2023,Комментарии,16203,449,2.77,2659,16.41,13095,80.82
2024,Посты,13733,773,5.63,2698,19.65,10262,74.73
2024,Комментарии,17082,445,2.61,2107,12.33,14530,85.06
2025,Посты,12442,547,4.4,2639,21.21,9256,74.39
2025,Комментарии,13850,385,2.78,1584,11.44,11881,85.78
