Год,Тип,Всего,Тувинский_ңөү_кол,Тувинский_ңөү_%,Тувинский_рус_клав_кол,Тувинский_рус_клав_%,Русский_кол,Русский_%
2018,Посты,4470,54,1.21,579,12.95,3837,85.84
2018,Комментарии,24536,97,0.4,934,3.81,23505,95.8
2019,Посты,4311,101,2.34,782,18.14,3428,79.52
2019,Комментарии,10683,59,0.55,614,5.75,10010,93.7
2020,Посты,6489,283,4.36,1318,20.31,4888,75.33
2020,Комментарии,18261,464,2.54,3197,17.51,14600,79.95
2021,Посты,5525,234,4.24,1515,27.42,3776,68.34
2021,Комментарии,22742,672,2.95,5904,25.96,16166,71.08
2022,Посты,5212,498,9.55,1594,30.58,3120,59.86
2022,Комментарии,23785,885,3.72,6189,26.02,16711,70.26
2023,Посты,4689,335,7.14,1227,26.17,3127,66.69
2023,Комментарии,13949,388,2.78,3057,21.92,10504,75.3
2024,Посты,5901,253,4.29,1432,24.27,4216,71.45
2024,Комментарии,19202,447,2.33,2624,13.67,16131,84.01
2025,Посты,13403,1569,11.71,4929,36.78,6905,51.52
2025,Комментарии,77160,3018,3.91,18752,24.3,55390,71.79
